category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
로션 > 로션,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170690&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=73,유세린,유세린 이븐래디언스 모이스처라이저,,38000,50ml,,
로션 > 로션,4,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174709&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=74,일소,일소 데일리 모이스처 소프트닝 로션,,23000,150ml,,
로션 > 로션,4,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176059&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=75,크리니크,크리니크 포 맨 안티 에이지 모이스춰라이저,,76000,100ml,,
로션 > 로션,4,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000178076&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=76,헤라,헤라 옴므 파워부스팅 모이스춰라이저,,69000,110ML,,
로션 > 로션,4,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179257&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=77,센텔리안24,센텔리안24 마데카 데일리 리페어 에센스로션,,30000,100ml,,
로션 > 로션,4,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180934&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=78,레이지소사이어티,레이지소사이어티 시카 애프터쉐이브 로션,,12900,100ml,,
로션 > 로션,4,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182721&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=79,케어존,케어존 아큐어 클래리파잉 에멀전,,26000,200ml,,
로션 > 로션,4,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183210&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=80,이니스프리,이니스프리 그린티 히알루론산 로션,,21000,170ml,,
로션 > 로션,4,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183326&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=81,프리메라,프리메라 오가니언스 베리어 리페어 하이드레이션 크림 에멀젼,,37000,160ml,,
로션 > 로션,4,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184216&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=82,랩시리즈,랩시리즈 오일 컨트롤 데일리 모이스춰라이저,,66000,50ml,,
로션 > 로션,4,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184653&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=83,아이오페,아이오페 스템3 에멀젼,,44000,150ml,,
로션 > 로션,4,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184664&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=84,아이오페,아이오페 맨 안티에이징 에멀젼EX,,36000,120ml,,
로션 > 로션,4,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185986&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=85,차앤박,차앤박 옴므랩 리차징 로션,CNP 토너31ml&클렌징폼50ml 증정,32000,100ml,,
로션 > 로션,4,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192145&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=86,오딧세이,오딧세이 챕터파이브 안티옥시던트 라이트하우스 모이스처라이저,토너30mlx2,44000,110ml,,
